surface,time_s,waypoint_index,x,y,z,force_n,speed_m_s,mode,event
mirror,14.350000000000069,43,0.55,0.10250000000000004,0.9425,5.999999999999998,0.1458187101404742,force,track
mirror,14.40000000000007,43,0.55,0.10250000000000004,0.9425,5.999999999999998,0.14374785388368697,force,track
mirror,14.45000000000007,43,0.55,0.10250000000000004,0.9425,5.999999999999998,0.14170757149689597,force,track
mirror,14.500000000000071,43,0.55,0.10250000000000004,0.9425,5.999999999999998,0.13994525655237403,force,track
mirror,14.550000000000072,43,0.55,0.10250000000000004,0.9425,5.999999999999998,0.138674597798511,force,track
mirror,14.600000000000072,43,0.55,0.10250000000000004,0.9425,5.999999999999998,0.13804966842159364,force,track
mirror,14.650000000000073,43,0.55,0.10250000000000004,0.9425,5.999999999999998,0.13814624396719105,force,track
mirror,14.700000000000074,43,0.55,0.10250000000000004,0.9425,5.999999999999998,0.13895261420863342,force,track
mirror,14.750000000000075,43,0.55,0.10250000000000004,0.9425,5.999999999999998,0.14037100306556227,force,track
mirror,14.800000000000075,43,0.55,0.10250000000000004,0.9425,5.999999999999998,0.14222942440093142,force,track
mirror,14.850000000000076,43,0.55,0.10250000000000004,0.9425,5.999999999999998,0.14430253612684085,force,track
mirror,14.900000000000077,43,0.55,0.10250000000000004,0.9425,5.999999999999998,0.14633896396347826,force,track
mirror,14.950000000000077,43,0.55,0.10250000000000004,0.9425,5.999999999999998,0.1480917817204088,force,track
mirror,15.000000000000078,43,0.55,0.10250000000000004,0.9425,5.999999999999998,0.1493484522266812,force,track
mirror,15.050000000000079,43,0.55,0.10250000000000004,0.9425,5.999999999999998,0.14995659843501544,force,track
mirror,15.10000000000008,43,0.55,0.10250000000000004,0.9425,5.999999999999998,0.1498424798358046,force,track
mirror,15.15000000000008,43,0.55,0.10250000000000004,0.9425,5.999999999999998,0.1490199338312163,force,track
mirror,15.200000000000081,43,0.55,0.10250000000000004,0.9425,5.999999999999998,0.14758869788688342,force,track
mirror,15.250000000000082,43,0.55,0.10250000000000004,0.9425,5.999999999999998,0.14572231590796636,force,track
mirror,15.300000000000082,44,0.55,0.08250000000000005,0.9425,5.999999999999998,0.1458187101404742,force,track
mirror,15.350000000000083,44,0.55,0.08250000000000005,0.9425,5.999999999999998,0.14374785388368697,force,track
mirror,15.400000000000084,44,0.55,0.08250000000000005,0.9425,5.999999999999998,0.14170757149689597,force,track
mirror,15.450000000000085,45,0.55,0.06250000000000006,0.9425,5.999999999999998,0.14374785388368697,force,track
mirror,15.500000000000085,45,0.55,0.06250000000000006,0.9425,5.999999999999998,0.14170757149689597,force,track
mirror,15.550000000000086,45,0.55,0.06250000000000006,0.9425,5.999999999999998,0.13994525655237403,force,track
mirror,15.600000000000087,46,0.55,-0.057499999999999885,0.9425,5.999999999999998,0.14170757149689597,force,track
mirror,15.650000000000087,46,0.55,-0.057499999999999885,0.9425,5.999999999999998,0.13994525655237403,force,track
mirror,15.700000000000088,46,0.55,-0.057499999999999885,0.9425,5.999999999999998,0.138674597798511,force,track
mirror,15.750000000000089,46,0.55,-0.057499999999999885,0.9425,5.999999999999998,0.13804966842159364,force,track
mirror,15.80000000000009,46,0.55,-0.057499999999999885,0.9425,5.999999999999998,0.13814624396719105,force,track
mirror,15.85000000000009,46,0.55,-0.057499999999999885,0.9425,5.999999999999998,0.13895261420863342,force,track
mirror,15.900000000000091,46,0.55,-0.057499999999999885,0.9425,5.999999999999998,0.14037100306556227,force,track
mirror,15.950000000000092,46,0.55,-0.057499999999999885,0.9425,5.999999999999998,0.14222942440093142,force,track
mirror,16.000000000000092,46,0.55,-0.057499999999999885,0.9425,5.999999999999998,0.14430253612684085,force,track
mirror,16.050000000000093,46,0.55,-0.057499999999999885,0.9425,5.999999999999998,0.14633896396347826,force,track
mirror,16.100000000000094,46,0.55,-0.057499999999999885,0.9425,5.999999999999998,0.1480917817204088,force,track
mirror,16.150000000000095,46,0.55,-0.057499999999999885,0.9425,5.999999999999998,0.1493484522266812,force,track
mirror,16.200000000000095,46,0.55,-0.057499999999999885,0.9425,5.999999999999998,0.14995659843501544,force,track
mirror,16.250000000000096,46,0.55,-0.057499999999999885,0.9425,5.999999999999998,0.1498424798358046,force,track
mirror,16.300000000000097,46,0.55,-0.057499999999999885,0.9425,5.999999999999998,0.1490199338312163,force,track
mirror,16.350000000000097,46,0.55,-0.057499999999999885,0.9425,5.999999999999998,0.14758869788688342,force,track
mirror,16.400000000000098,47,0.55,-0.07749999999999985,0.9425,5.999999999999998,0.13994525655237403,force,track
mirror,16.4500000000001,47,0.55,-0.07749999999999985,0.9425,5.999999999999998,0.138674597798511,force,track
mirror,16.5000000000001,47,0.55,-0.07749999999999985,0.9425,5.999999999999998,0.13804966842159364,force,track
mirror,16.5500000000001,48,0.55,-0.09749999999999986,0.9425,5.999999999999998,0.138674597798511,force,track
mirror,16.6000000000001,48,0.55,-0.09749999999999986,0.9425,5.999999999999998,0.13804966842159364,force,track
mirror,16.6500000000001,48,0.55,-0.09749999999999986,0.9425,5.999999999999998,0.13814624396719105,force,track
mirror,16.700000000000102,49,0.55,-0.24249999999999997,0.9025,5.999999999999998,0.13804966842159364,force,track
mirror,16.750000000000103,49,0.55,-0.24249999999999997,0.9025,5.999999999999998,0.13814624396719105,force,track
mirror,16.800000000000104,49,0.55,-0.24249999999999997,0.9025,5.999999999999998,0.13895261420863342,force,track
mirror,16.850000000000104,49,0.55,-0.24249999999999997,0.9025,5.999999999999998,0.14037100306556227,force,track
mirror,16.900000000000105,49,0.55,-0.24249999999999997,0.9025,5.999999999999998,0.14222942440093142,force,track
mirror,16.950000000000106,49,0.55,-0.24249999999999997,0.9025,5.999999999999998,0.14430253612684085,force,track
mirror,17.000000000000107,49,0.55,-0.24249999999999997,0.9025,5.999999999999998,0.14633896396347826,force,track
mirror,17.050000000000107,49,0.55,-0.24249999999999997,0.9025,5.999999999999998,0.1480917817204088,force,track
mirror,17.100000000000108,49,0.55,-0.24249999999999997,0.9025,5.999999999999998,0.1493484522266812,force,track
mirror,17.15000000000011,49,0.55,-0.24249999999999997,0.9025,5.999999999999998,0.14995659843501544,force,track
mirror,17.20000000000011,49,0.55,-0.24249999999999997,0.9025,5.999999999999998,0.1498424798358046,force,track
mirror,17.25000000000011,49,0.55,-0.24249999999999997,0.9025,5.999999999999998,0.1490199338312163,force,track
mirror,17.30000000000011,49,0.55,-0.24249999999999997,0.9025,5.999999999999998,0.14758869788688342,force,track
mirror,17.35000000000011,49,0.55,-0.24249999999999997,0.9025,5.999999999999998,0.14572231590796636,force,track
mirror,17.400000000000112,49,0.55,-0.24249999999999997,0.9025,5.999999999999998,0.1436470952468097,force,track
mirror,17.450000000000113,49,0.55,-0.24249999999999997,0.9025,5.999999999999998,0.1416146659012714,force,track
mirror,17.500000000000114,49,0.55,-0.24249999999999997,0.9025,5.999999999999998,0.13987146922645022,force,track
mirror,17.550000000000114,49,0.55,-0.24249999999999997,0.9025,5.999999999999998,0.13862887579308192,force,track
mirror,17.600000000000115,49,0.55,-0.24249999999999997,0.9025,5.999999999999998,0.13803755573896404,force,track
mirror,17.650000000000116,49,0.55,-0.24249999999999997,0.9025,5.999999999999998,0.1381692093255368,force,track
mirror,17.700000000000117,49,0.55,-0.24249999999999997,0.9025,5.999999999999998,0.1390078729532046,force,track
mirror,17.750000000000117,50,0.55,-0.24249999999999997,0.8624999999999999,5.999999999999998,0.13814624396719105,force,track
mirror,17.800000000000118,50,0.55,-0.24249999999999997,0.8624999999999999,5.999999999999998,0.13895261420863342,force,track
mirror,17.85000000000012,50,0.55,-0.24249999999999997,0.8624999999999999,5.999999999999998,0.14037100306556227,force,track
mirror,17.90000000000012,50,0.55,-0.24249999999999997,0.8624999999999999,5.999999999999998,0.14222942440093142,force,track
mirror,17.95000000000012,50,0.55,-0.24249999999999997,0.8624999999999999,5.999999999999998,0.14430253612684085,force,track
mirror,18.00000000000012,50,0.55,-0.24249999999999997,0.8624999999999999,5.999999999999998,0.14633896396347826,force,track
mirror,18.05000000000012,51,0.55,-0.24249999999999997,0.8424999999999999,5.999999999999998,0.13895261420863342,force,track
mirror,18.100000000000122,51,0.55,-0.24249999999999997,0.8424999999999999,5.999999999999998,0.14037100306556227,force,track
mirror,18.150000000000123,51,0.55,-0.24249999999999997,0.8424999999999999,5.999999999999998,0.14222942440093142,force,track
mirror,18.200000000000124,52,0.55,-0.24249999999999997,0.8224999999999999,5.999999999999998,0.14037100306556227,force,track
mirror,18.250000000000124,52,0.55,-0.24249999999999997,0.8224999999999999,5.999999999999998,0.14222942440093142,force,track
mirror,18.300000000000125,52,0.55,-0.24249999999999997,0.8224999999999999,5.999999999999998,0.14430253612684085,force,track
mirror,18.350000000000126,53,0.55,-0.24249999999999997,0.7824999999999999,5.999999999999998,0.14222942440093142,force,track
mirror,18.400000000000126,53,0.55,-0.24249999999999997,0.7824999999999999,5.999999999999998,0.14430253612684085,force,track
mirror,18.450000000000127,53,0.55,-0.24249999999999997,0.7824999999999999,5.999999999999998,0.14633896396347826,force,track
mirror,18.500000000000128,53,0.55,-0.24249999999999997,0.7824999999999999,5.999999999999998,0.1480917817204088,force,track
mirror,18.55000000000013,53,0.55,-0.24249999999999997,0.7824999999999999,5.999999999999998,0.1493484522266812,force,track
mirror,18.60000000000013,53,0.55,-0.24249999999999997,0.7824999999999999,5.999999999999998,0.14995659843501544,force,track
mirror,18.65000000000013,54,0.55,-0.24249999999999997,0.7424999999999998,5.999999999999998,0.14430253612684085,force,track
mirror,18.70000000000013,54,0.55,-0.24249999999999997,0.7424999999999998,5.999999999999998,0.14633896396347826,force,track
mirror,18.75000000000013,54,0.55,-0.24249999999999997,0.7424999999999998,5.999999999999998,0.1480917817204088,force,track
mirror,18.800000000000132,54,0.55,-0.24249999999999997,0.7424999999999998,5.999999999999998,0.1493484522266812,force,track
mirror,18.850000000000133,54,0.55,-0.24249999999999997,0.7424999999999998,5.999999999999998,0.14995659843501544,force,track
mirror,18.900000000000134,54,0.55,-0.24249999999999997,0.7424999999999998,5.999999999999998,0.1498424798358046,force,track
mirror,18.950000000000134,55,0.55,-0.24249999999999997,0.7024999999999998,5.999999999999998,0.14633896396347826,force,track
